feature,importance
intI,0.001392756904878359
group_16819,0.0013921795128168837
intA_2,0.001364345414626521
ycbR,0.0013611608144918678
arsR,0.0013604375899145343
yjjM,0.001359835440939814
hicB,0.0013450895116986729
rfaL,0.0013441185680115526
hokA,0.001333305788342511
group_16753,0.0013195582904651187
group_16811,0.0013126916056486087
gudP_2,0.0012971741726321437
group_11132,0.0012878684815260644
group_2349,0.001283343506222423
group_1591,0.001281388655914942
tdcF_2,0.0012734746934390433
glpR_3,0.0012732571572577332
sfp,0.0012661941696768156
aadA,0.0012424563583694663
nemR_2,0.0012364470648622472
group_344,0.0012291545755473627
group_11214,0.0012274312361684405
group_6972,0.0012206775025489752
group_4859,0.0012193038968710088
group_6984,0.0011948089272027108
dnaB_2,0.0011884902319745187
group_11161,0.001182011428120605
group_11140,0.0011802837468011258
yxeP,0.0011754758206370534
merR,0.0011648215999634209
kilW,0.0011594170400555704
group_3963,0.0010984075849061305
yagE_1,0.001094298875805369
group_5084,0.0010913155498797685
group_2559,0.001088051543355583
hyfA,0.0010836501916431083
xerD_2,0.0010688653573805715
group_1167,0.001068846791158839
group_16776,0.0010619696511942262
lgrE,0.0010510302658323569
group_16778,0.0010458955993113178
ophA1,0.0010437248508613532
lsrD_1,0.0010427372531269382
hsdS,0.0010304690361454096
kdgT_2,0.001029188169855733
group_2385,0.0010278450812731968
group_3485,0.0010252098804456097
rspA_2,0.0010101448497011343
yjgB_2,0.0010073362046234516
aacA-aphD,0.0009985362968414953
ybiU,0.000987752290072805
group_16772,0.0009844056207048374
group_232,0.0009736420552955215
group_11136,0.0009696046071762457
group_8527,0.0009693114114387305
group_8490,0.0009636823472036503
dosC_2,0.0009620737019876541
tap,0.0009541775216108507
group_6009,0.0009529769223372757
group_4431,0.0009476593458729805
group_11144,0.0009450982510024217
rfbC,0.0009428224513445107
group_5072,0.0009359059649856996
group_14961,0.000931270147189453
ybl149,0.0009264643000161347
group_5073,0.0009185239359437038
marB,0.0009144343298358395
group_1822,0.0009061916760496965
group_2887,0.0009030975155082838
grsB,0.0009006514960523386
group_2179,0.0008991272358410839
yagE_3,0.0008964931633552606
group_205,0.0008955386974117119
ugpB_2,0.0008948368717074763
sfmH,0.0008865031564856595
puuP,0.0008769940957487976
yfkN_1,0.0008738717344750183
D,0.0008673511898698265
group_5957,0.0008627387578747291
yhiS,0.00085377666344794
group_2178,0.0008518062734369333
group_1711,0.0008496739805450963
yjiR,0.0008489014967522561
lacY_1,0.0008413878003020489
repB_1,0.0008394803998652466
group_5069,0.0008350084518840736
yahL,0.0008304264303679804
floR,0.0008110511114630395
yjjL,0.0008007394320731792
group_16671,0.0007856572641977338
group_16824,0.0007831687042440087
group_16842,0.0007760536554913103
ybcW,0.0007758718126792538
ugpC_2,0.0007757084160711557
group_8263,0.0007722105506314871
mcbR,0.0007708123936230474
caiT_1,0.0007695575108003776
iraD,0.0007681058354137585
sppA_2,0.0007638649083027549
group_11091,0.0007638282647242058
ninX,0.0007618309969890255
group_8522,0.0007590071664902956
group_11207,0.0007579099122238649
fimC_2,0.0007534745916201297
group_5108,0.0007534744600338454
alsK,0.0007531408923937903
dcuD,0.0007506341434530281
Year,0.0007427360363389822
group_3127,0.000742265749757716
ompT,0.0007298619804676543
group_11181,0.0007282381201911047
ompD,0.0007236196977319444
group_6981,0.0007216502300792002
group_1995,0.000720639289424883
group_2591,0.0007167209281456597
group_20257,0.0007164268150555459
group_7072,0.0007158671134927638
hsdR_1,0.0007155559892021008
group_3817,0.0007135778402682062
rfaG_1,0.0007095537130500471
pduS,0.000707048258596962
group_5929,0.000704542180656052
fI,0.0007033039909724921
group_12678,0.0007032442911576848
group_7243,0.000698490148068141
yhiM,0.0006980960114662752
oxyR_1,0.0006964022292205103
group_264,0.0006948859855188511
rpiB,0.0006937366647849959
bfpA,0.00069089147837001
group_1581,0.0006904905499803829
group_2229,0.0006898335195514613
group_4440,0.0006895396375429227
yagK,0.0006879348082119245
ycjP_2,0.0006873359616700592
group_16707,0.0006869455423958921
vapB,0.000684139092540387
yiaN,0.0006822590848410185
ddpB,0.0006787024412000256
group_1177,0.0006779273086773683
group_4473,0.0006742663120448873
group_16703,0.0006737209507567335
group_1183,0.0006736964128638939
sphX,0.000672920913985069
rfaJ_1,0.0006725292963012931
group_16667,0.0006716664013949118
group_11023,0.0006690875616004846
fes_2,0.0006688422394853858
group_3444,0.0006676778691937889
group_16812,0.0006581807397729401
group_268,0.0006569436856086854
group_239,0.000655275753921962
ycbU,0.0006454038008509873
group_5950,0.0006441592432852634
group_11099,0.0006413445152798864
rbsA_1,0.0006397573667884501
cynR_2,0.0006380948751768979
group_16695,0.0006352493552332674
siaT,0.0006338217165532685
fepA_2,0.0006303624313558508
group_11153,0.0006244878821701002
group_11103,0.0006231174763160037
group_11133,0.0006227354651126261
ybaM,0.0006221532148242728
yhdJ_2,0.0006193160218359949
cspG,0.0006186532612209272
group_3956,0.0006180163099388475
group_1185,0.0006160949537396624
group_11102,0.0006153131996992291
dam_2,0.0006141536427922849
abgA,0.0006118108069513501
rusA_2,0.0006095196981033078
sfmA,0.0006086034779944523
nhaK_1,0.0006078309033426312
ddpD,0.0006051163258740309
group_3471,0.0006035353005843511
group_11455,0.0005949960884158776
group_5086,0.0005945309835138831
group_2379,0.0005932637964265388
hicA,0.0005913847139926449
group_11137,0.0005909516882224803
yidI,0.0005906884721986874
yhiJ_1,0.0005900157754733194
group_11065,0.0005862560738814037
rfaI,0.0005849325176265908
group_2189,0.0005847041126669269
cynT,0.0005845425876604908
envY,0.0005839284416366593
group_16746,0.0005828281234572548
tetC,0.0005810168769732148
impA,0.0005788545723217322
ybeR,0.0005770750176132435
group_1971,0.0005763113358758292
group_11824,0.0005733792583925506
ybl66,0.0005716455261397849
yjcU,0.0005714700041076491
arsD,0.0005699767045176104
ugpA_2,0.0005679247107046703
lfiM,0.0005650206045934456
tetD,0.0005624369844095311
group_16771,0.0005610092962153298
group_2390,0.0005595264304049094
group_3496,0.0005585828615246954
group_16710,0.0005575329614305167
gpS,0.0005553311646682201
ssb_6,0.0005549422322620603
ecpD,0.0005542654957831941
group_4551,0.0005538693631843364
group_1841,0.0005525034751521867
group_3151,0.0005512215419792672
ydeI,0.0005495465716391788
group_1014,0.0005490402603151148
group_11030,0.0005486198777165108
group_3143,0.000546516762101129
yiaM,0.00054186279265232
yeeE,0.0005415807772815084
group_2200,0.0005397311734209246
yqaC,0.0005356489369589419
ybl58,0.0005331634355209918
group_7113,0.000532227140208954
hyfG,0.0005297606065578276
ynfP,0.0005270763837776243
group_3522,0.0005267845183526392
group_7076,0.0005267079391330886
frvB,0.0005262029033730882
bspRIM,0.0005244272802953607
acpP_1,0.0005202764685459427
intE,0.0005195141296965777
yeeW,0.0005186002535945654
icc_2,0.0005171229058437191
group_11568,0.0005149827946169249
group_4514,0.0005127861933529659
mdtM,0.0005109531373762486
group_7190,0.0005108650898249897
pipB2_1,0.0005089869456624086
pilV_1,0.0005045326373238313
ygiZ,0.0005029425745807262
ybaA_2,0.000502764320313552
siaP,0.0005024189368831089
mobA_1,0.0005012679416379173
group_5953,0.0005004397841598577
tmrB,0.0004995487218939041
group_8599,0.0004973499602700816
hyfI,0.0004936796924637537
group_1278,0.0004919560918561058
group_15639,0.0004900202221738967
group_5193,0.0004861068759623811
group_7048,0.00048343836717617357
group_1934,0.00048342347203135717
group_11093,0.00048297833575257717
yicI_2,0.00048111170365323984
lsrC,0.0004755517142140628
tetA,0.0004729139864263095
shiF,0.00047252482807507476
tnpA_4,0.00046974388096502896
gutB_4,0.0004631949446221935
ycbS,0.00046310809883196355
group_11159,0.00046206770093828173
group_5525,0.00045943880368842414
group_11301,0.00045941220667648324
sfmC,0.00045918647748976663
yneK,0.0004560333355800449
group_11202,0.0004553384497104507
group_1685,0.00045490445183122446
tnpA_2,0.00045203373489653806
yafU,0.00045094371583410313
lafW,0.0004508147141267758
rfaJ,0.00045054576779821623
group_17002,0.00044802517420428387
group_2585,0.00044558595029476613
group_105,0.0004451160246315143
group_16696,0.0004445214914235426
group_3911,0.0004439114536600498
lsrB,0.00044199915426337784
cfaD,0.0004419543372273619
ygiL,0.00044141758595494455
group_3951,0.0004377319253446424
abgT,0.00043767487812367266
group_1017,0.0004368713339597659
gtfA,0.00043610665866933274
group_193,0.00043590637532397037
tetR,0.0004353521097433366
lsrD,0.0004335176289798636
group_300,0.0004328663172086241
group_16529,0.00043245135670085243
group_720,0.00043212680672576726
group_1689,0.0004321031292662844
yfbT_2,0.0004299884158995659
group_8625,0.00042885285562997683
I,0.00042652575322447246
siaT_2,0.00042597559677344624
group_5872,0.00042507506927338604
group_3976,0.0004215962776300457
group_1688,0.0004191521063785674
exuT_2,0.0004178716451647882
group_12415,0.0004173439080127833
insK-2,0.0004166340569948655
group_4549,0.00041540940638119236
group_1983,0.0004123772098274092
group_6044,0.0004121046158112958
ygiK,0.00041149870249207113
group_1165,0.00041098848074357824
argK,0.00040999779252977623
hyfH,0.0004099163216972786
group_8591,0.000409906987997478
ybgQ,0.0004081371576422156
group_3488,0.0004059464999092986
ycjP,0.0004056938192300448
hsdR,0.00040512958216374246
group_19387,0.00040491059233653147
mchF,0.0004043382576297079
rbsB_1,0.00040362246417785736
lafC,0.00040034417831170884
group_3135,0.0004003434418760778
group_2381,0.00039906261553302076
estB,0.00039858906020636146
cro_2,0.0003973967835249322
group_20256,0.00039696749930600466
group_3001,0.00039657959554669295
hyfD,0.0003962880171217845
group_16801,0.0003949273615254883
group_2893,0.000393427379712615
group_226,0.00039261655754468683
curA,0.000391248510002422
ymgF,0.000390430503032215
srfAA,0.00039010536962133714
alsB,0.0003887615207841463
rafD,0.00038859590006593556
group_3929,0.00038825758983074445
kojP,0.000388229959781715
allD_2,0.0003882287721856606
group_1356,0.00038772796870413534
prn_2,0.00038603445483057554
blc_2,0.00038582866810619505
clpV1,0.0003853751214487051
c,0.00038438012852793637
hcpA_2,0.00038240202376794687
group_660,0.000382208369548912
group_17465,0.0003821153386259181
aroF_2,0.000381834347060929
group_5939,0.0003810554005126833
ebr,0.00038005917539103484
chbC_2,0.0003791653941716079
lhr,0.00037892268735586197
group_3510,0.00037783971618134517
group_19546,0.00037742640648114495
group_2192,0.0003772772237892218
yihO,0.00037423409052209306
group_8937,0.00037380043388706113
group_1311,0.0003737486924474079
cse2,0.000373563891728064
dfrA,0.00037099359639163916
group_16991,0.00037090247756866213
group_11160,0.00037019126207048057
group_8706,0.0003698610780124637
group_8472,0.00036976857139385083
group_8551,0.0003693018355406373
yraI,0.0003689830416522205
group_2356,0.00036810250072668205
lsrG,0.0003670250983268177
neuA,0.000366608127862621
mqsA,0.0003655436775078074
ynbB,0.0003654716168881543
group_60,0.000364784066571773
yfcO,0.0003644977095246683
yedA_2,0.0003643435065149368
group_2818,0.0003640296448577938
puuE,0.0003632853826750901
group_7205,0.00036308870195933795
group_11826,0.0003627769779872702
ycjR,0.0003622076418702792
ompN_1,0.0003621820599398902
